,Name,FA,Team,Year,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Salary,Prev_Salary,is_rookie
101,김태한,,SK/SSG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600.0,8600.0,X
102,김태형,X,DOOSAN,2001,1967.0,34.0,C,0.01,6.0,0.0,0.01,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.333,0.333,0.666,-0.039,77.2,,,
103,김필중,,HYUNDAI,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
104,김한수,X,SAMSUNG,2001,1971.0,30.0,3B,2.68,117.0,2.7,-0.03,478.0,473.0,427.0,59.0,133.0,29.0,2.0,13.0,205.0,61.0,3.0,2.0,28.0,13.0,3.0,57.0,11.0,2.0,8.0,0.311,0.366,0.48,0.846,0.009,113.5,15000.0,10000.0,X
105,김현민,X,LG,2001,1973.0,28.0,1B,-0.1,10.0,-0.11,0.01,11.0,11.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.111,0.273,0.111,0.384,-0.174,-26.3,2100.0,2200.0,X
106,김현욱,,SAMSUNG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500.0,9500.0,X
107,김호,X,DOOSAN,2001,1967.0,34.0,SS,-0.07,26.0,-0.24,0.17,65.0,65.0,58.0,7.0,12.0,2.0,1.0,0.0,16.0,4.0,0.0,0.0,6.0,0.0,0.0,11.0,1.0,0.0,1.0,0.207,0.277,0.276,0.553,-0.092,36.5,4600.0,3600.0,X
108,김홍집,,HANWHA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700.0,4600.0,X
109,남기헌,X,SAMSUNG,2001,1977.0,24.0,OF,-0.11,6.0,-0.11,-0.01,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,-0.275,-103.3,,,
110,노승욱,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,1800.0,X
111,노장진,,SAMSUNG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.0,7000.0,X
112,류지현,X,LG,2001,1971.0,30.0,SS,5.21,129.0,4.65,0.56,580.0,550.0,448.0,90.0,127.0,26.0,2.0,9.0,184.0,53.0,21.0,7.0,96.0,3.0,0.0,59.0,13.0,30.0,3.0,0.283,0.411,0.411,0.822,0.035,132.0,22000.0,20000.0,X
113,마일영,,HYUNDAI,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100.0,3300.0,X
114,마해영,X,SAMSUNG,2001,1970.0,31.0,DH,4.45,133.0,5.82,-1.38,547.0,544.0,470.0,86.0,154.0,18.0,0.0,30.0,262.0,95.0,1.0,1.0,68.0,5.0,3.0,82.0,13.0,0.0,4.0,0.328,0.415,0.557,0.972,0.061,152.9,20000.0,15000.0,X
115,문규현,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,O
116,문남열,,SAMSUNG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,,O
117,문동환,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500.0,8500.0,X
